Drug,DX,30 day quantity,30 day price,90day quantity,90 day Price,Pharmacy
AMOXICILLIN 250 MG/5 ML,Antibiotic,150,$4,450,$10,Target
AMOXICILLIN 400 MG/5 ML,Antibiotic,50,$4,150,$10,Target
AMOXICILLIN 400 MG/5 ML*,Antibiotic,75,$4,225,$10,Target
AMOXICILLIN 400 MG/5 ML*,Antibiotic,100,$4,300,$10,Target
AMOXICILLIN 500 MG,Antibiotic,30,$4,90,$10,Target
CEPHALEXIN 250 MG,Antibiotic,28,$4,84,$10,Target
CEPHALEXIN 500 MG,Antibiotic,30,$4,90,$10,Target
CIPROFLOXACIN 250 MG,Antibiotic,14,$4,42,$10,Target
CIPROFLOXACIN 500 MG,Antibiotic,20,$4,60,$10,Target
PENICILLIN VK 125 MG/5 ML,Antibiotic,100,$4,300,$10,Target
PENICILLIN VK 125 MG/5 ML,Antibiotic,200,$4,600,$10,Target
PENICILLIN VK 250 MG,Antibiotic,28,$4,84,$10,Target
PENICILLIN VK 250 MG/5 ML,Antibiotic,100,$4,300,$10,Target
SMZ/TMP 400/80 MG,Antibiotic,28,$4,84,$10,Target
SMZ/TMP DS 800/160 MG,Antibiotic,20,$4,60,$10,Target
AMITRIPTYLINE 10 MG,Antidepressant,30,$4,90,$10,Target
CITALOPRAM 20 MG,Antidepressant,30,$4,90,$10,Target
CITALOPRAM 40 MG,Antidepressant,30,$4,90,$10,Target
FLUOXETINE 10 MG,Antidepressant,30,$4,90,$10,Target
FLUOXETINE 20 MG,Antidepressant,30,$4,90,$10,Target
FLUOXETINE 40 MG*,Antidepressant,30,$4,90,$10,Target
NORTRIPTYLINE 10 MG,Antidepressant,30,$4,90,$10,Target
NORTRIPTYLINE 25 MG,Antidepressant,30,$4,90,$10,Target
PAROXETINE 10 MG*,Antidepressant,30,$4,90,$10,Target
PAROXETINE 20 MG*,Antidepressant,30,$4,90,$10,Target
TRAZODONE 100 MG,Antidepressant,30,$4,90,$10,Target
TRAZODONE 150 MG,Antidepressant,30,$4,90,$10,Target
TRAZODONE 50 MG,Antidepressant,30,$4,90,$10,Target
FLUCONAZOLE 150 MG,Antifungal,1,$4,3,$10,Target
TERBINAFINE 250 MG*,Antifungal,30,$4,90,$10,Target
IBUPROFEN 100 MG/5 ML*,AntiInflammatory,120,$4,360,$10,Target
IBUPROFEN 400 MG,AntiInflammatory,90,$4,270,$10,Target
IBUPROFEN 600 MG,AntiInflammatory,60,$4,180,$10,Target
IBUPROFEN 800 MG,AntiInflammatory,30,$4,90,$10,Target
INDOMETHACIN 25 MG*,AntiInflammatory,60,$4,180,$10,Target
MELOXICAM 15 MG,AntiInflammatory,30,$4,90,$10,Target
MELOXICAM 7.5 MG,AntiInflammatory,30,$4,90,$10,Target
NAPROXEN 375 MG*,AntiInflammatory,60,$4,180,$10,Target
NAPROXEN 500 MG*,AntiInflammatory,60,$4,180,$10,Target
FLUPHENAZINE 1 MG,Antipsychotic,30,$4,90,$10,Target
HALOPERIDOL 0.5 MG,Antipsychotic,30,$4,90,$10,Target
HALOPERIDOL 1 MG,Antipsychotic,30,$4,90,$10,Target
HALOPERIDOL 2 MG,Antipsychotic,30,$4,90,$10,Target
LITHIUM CARB 300 MG*,Antipsychotic,90,$4,270,$10,Target
ACYCLOVIR 200 MG,Antiviral,30,$4,90,$10,Target
IBUPROFEN 400 MG,Arthritis,90,$4,270,$10,Target
IBUPROFEN 600 MG,Arthritis,60,$4,180,$10,Target
IBUPROFEN 800 MG,Arthritis,30,$4,90,$10,Target
INDOMETHACIN 25 MG*,Arthritis,60,$4,180,$10,Target
MELOXICAM 15 MG,Arthritis,30,$4,90,$10,Target
MELOXICAM 7.5 MG,Arthritis,30,$4,90,$10,Target
NAPROXEN 375 MG*,Arthritis,60,$4,180,$10,Target
NAPROXEN 500 MG*,Arthritis,60,$4,180,$10,Target
ALBUTEROL 2 MG/5 ML,Asthma,120,$4,360,$10,Target
ALBUTEROL NEB 0.083%*,Asthma,75,$4,225,$10,Target
IPRATROPIUM NEB 0.2 MG/ML*,Asthma,75,$4,225,$10,Target
MEGESTROL 20 MG*,Cancer or Oncology,30,$4,90,$10,Target
ATENOLOL 100 MG,Cardiac or Hypertension,30,$4,90,$10,Target
ATENOLOL 25 MG,Cardiac or Hypertension,30,$4,90,$10,Target
ATENOLOL 50 MG,Cardiac or Hypertension,30,$4,90,$10,Target
BENAZEPRIL 10 MG,Cardiac or Hypertension,30,$4,90,$10,Target
BENAZEPRIL 20 MG,Cardiac or Hypertension,30,$4,90,$10,Target
BENAZEPRIL 40 MG,Cardiac or Hypertension,30,$4,90,$10,Target
BENAZEPRIL 5 MG,Cardiac or Hypertension,30,$4,90,$10,Target
BISOPROLOL/HCTZ 10/6.25 MG,Cardiac or Hypertension,30,$4,90,$10,Target
BISOPROLOL/HCTZ 5/6.25 MG,Cardiac or Hypertension,30,$4,90,$10,Target
CARVEDILOL 12.5 MG,Cardiac or Hypertension,60,$4,180,$10,Target
CARVEDILOL 25 MG*,Cardiac or Hypertension,60,$4,180,$10,Target
CARVEDILOL 3.125 MG,Cardiac or Hypertension,60,$4,180,$10,Target
CARVEDILOL 6.25 MG,Cardiac or Hypertension,60,$4,180,$10,Target
CLONIDINE 0.1 MG,Cardiac or Hypertension,30,$4,90,$10,Target
CLONIDINE 0.2 MG,Cardiac or Hypertension,30,$4,90,$10,Target
ENALAPRIL/HCTZ 5/12.5 MG,Cardiac or Hypertension,30,$4,90,$10,Target
FUROSEMIDE 20 MG,Cardiac or Hypertension,30,$4,90,$10,Target
FUROSEMIDE 40 MG,Cardiac or Hypertension,30,$4,90,$10,Target
FUROSEMIDE 80 MG,Cardiac or Hypertension,30,$4,90,$10,Target
GUANFACINE 1 MG,Cardiac or Hypertension,30,$4,90,$10,Target
HYDRALAZINE 10 MG,Cardiac or Hypertension,30,$4,90,$10,Target
HYDRALAZINE 25 MG,Cardiac or Hypertension,30,$4,90,$10,Target
HYDROCHLOROTHIAZIDE 12.5 MG*,Cardiac or Hypertension,30,$4,90,$10,Target
HYDROCHLOROTHIAZIDE 25 MG,Cardiac or Hypertension,30,$4,90,$10,Target
HYDROCHLOROTHIAZIDE 50 MG,Cardiac or Hypertension,30,$4,90,$10,Target
INDAPAMIDE 1.25 MG,Cardiac or Hypertension,30,$4,90,$10,Target
INDAPAMIDE 2.5 MG,Cardiac or Hypertension,30,$4,90,$10,Target
LISINOPRIL/HCTZ 1012.5 MG,Cardiac or Hypertension,30,$4,90,$10,Target
LISINOPRIL/HCTZ 2012.5 MG*,Cardiac or Hypertension,30,$4,90,$10,Target
LISINOPRIL/HCTZ 2025 MG*,Cardiac or Hypertension,30,$4,90,$10,Target
LISINOPRIL 10 MG,Cardiac or Hypertension,30,$4,90,$10,Target
LISINOPRIL 2.5 MG,Cardiac or Hypertension,30,$4,90,$10,Target
LISINOPRIL 20 MG,Cardiac or Hypertension,30,$4,90,$10,Target
LISINOPRIL 5 MG,Cardiac or Hypertension,30,$4,90,$10,Target
METHYLDOPA 250 MG*,Cardiac or Hypertension,60,$4,180,$10,Target
METOPROLOL TARTRATE 100 MG*,Cardiac or Hypertension,60,$4,180,$10,Target
METOPROLOL TARTRATE 25 MG,Cardiac or Hypertension,60,$4,180,$10,Target
METOPROLOL TARTRATE 50 MG,Cardiac or Hypertension,60,$4,180,$10,Target
SOTALOL HCL 80 MG*,Cardiac or Hypertension,30,$4,90,$10,Target
SPIRONOLACTONE 25 MG*,Cardiac or Hypertension,30,$4,90,$10,Target
TERAZOSIN 10 MG,Cardiac or Hypertension,30,$4,90,$10,Target
TERAZOSIN 1 MG,Cardiac or Hypertension,30,$4,90,$10,Target
TERAZOSIN 2 MG,Cardiac or Hypertension,30,$4,90,$10,Target
TERAZOSIN 5 MG,Cardiac or Hypertension,30,$4,90,$10,Target
TRIAMTERENE/HCTZ 75/50 MG,Cardiac or Hypertension,30,$4,90,$10,Target
VERAPAMIL 120 MG,Cardiac or Hypertension,30,$4,90,$10,Target
VERAPAMIL 80 MG,Cardiac or Hypertension,30,$4,90,$10,Target
WARFARIN 10 MG,Cardiac or Hypertension,30,$4,90,$10,Target
WARFARIN 1 MG,Cardiac or Hypertension,30,$4,90,$10,Target
WARFARIN 2.5 MG,Cardiac or Hypertension,30,$4,90,$10,Target
WARFARIN 2 MG,Cardiac or Hypertension,30,$4,90,$10,Target
WARFARIN 3 MG,Cardiac or Hypertension,30,$4,90,$10,Target
WARFARIN 4 MG,Cardiac or Hypertension,30,$4,90,$10,Target
WARFARIN 5 MG*,Cardiac or Hypertension,30,$4,90,$10,Target
WARFARIN 6 MG,Cardiac or Hypertension,30,$4,90,$10,Target
WARFARIN 7.5 MG,Cardiac or Hypertension,30,$4,90,$10,Target
LOVASTATIN 10 MG*,Cholesterol,30,$4,90,$10,Target
LOVASTATIN 20 MG*,Cholesterol,30,$4,90,$10,Target
GLIMEPIRIDE 1 MG,Diabetes,30,$4,90,$10,Target
GLIMEPIRIDE 2 MG,Diabetes,30,$4,90,$10,Target
GLIMEPIRIDE 4 MG,Diabetes,30,$4,90,$10,Target
GLIPIZIDE 10 MG*,Diabetes,60,$4,180,$10,Target
GLIPIZIDE 5 MG,Diabetes,30,$4,90,$10,Target
GLYBURIDE 2.5 MG,Diabetes,30,$4,90,$10,Target
GLYBURIDE 5 MG,Diabetes,30,$4,90,$10,Target
METFORMIN 1000 MG*,Diabetes,60,$4,180,$10,Target
METFORMIN 500 MG,Diabetes,60,$4,180,$10,Target
METFORMIN 850 MG,Diabetes,60,$4,180,$10,Target
METFORMIN ER 500 MG*,Diabetes,60,$4,180,$10,Target
ANTIPYRINE/BENZOCAINE ,Ear Preparations,10,$4,30,$10,Target
GENTAK 0.3%,Eye Preparations,5,$4,15,$10,Target
GENTAMICIN 0.3%,Eye Preparations,5,$4,15,$10,Target
POLYMYXIN SULFATE/TMP*,Eye Preparations,10,$4,30,$10,Target
TIMOLOL MALEATE 0.25%,Eye Preparations,5,$4,15,$10,Target
TIMOLOL MALEATE 0.5%,Eye Preparations,5,$4,15,$10,Target
TOBRAMYCIN 0.3%,Eye Preparations,5,$4,15,$10,Target
ESTRADIOL 0.5 MG,Hormones,30,$4,90,$10,Target
ESTRADIOL 2 MG,Hormones,30,$4,90,$10,Target
MEDROXYPROGESTERONE 10 MG,Hormones,10,$4,30,$10,Target
MEDROXYPROGESTERONE 2.5 MG,Hormones,30,$4,90,$10,Target
MEDROXYPROGESTERONE 5 MG,Hormones,30,$4,90,$10,Target
FINASTERIDE 5 MG,Men's Health,30,$9,N/A,N/A,Target
CYCLOBENZAPRINE 10 MG,Muscle Relaxants,30,$4,90,$10,Target
CYCLOBENZAPRINE 5 MG,Muscle Relaxants,30,$4,90,$10,Target
CHLORHEXIDINE GLUCONATE 0.12%,Other,473,$4,1419,$10,Target
PROCHLORPERAZINE 10 MG,Other,30,$4,90,$10,Target
BENZTROPINE 2 MG,Other,30,$4,90,$10,Target
TRIHEXYPHENIDYL 2 MG,Other,60,$4,180,$10,Target
MEGESTROL 20 MG*,Prostate or BPH,30,$4,90,$10,Target
TERAZOSIN 10 MG,Prostate or BPH,30,$4,90,$10,Target
TERAZOSIN 1 MG,Prostate or BPH,30,$4,90,$10,Target
TERAZOSIN 2 MG,Prostate or BPH,30,$4,90,$10,Target
TERAZOSIN 5 MG,Prostate or BPH,30,$4,90,$10,Target
DEXAMETHASONE .75 MG,Steroids,12,$4,36,$10,Target
DEXAMETHASONE 0.5 MG,Steroids,30,$4,90,$10,Target
DEXAMETHASONE 4 MG,Steroids,6,$4,18,$10,Target
PREDNISONE 2.5 MG,Steroids,30,$4,90,$10,Target
PREDNISONE 5 MG,Steroids,30,$4,90,$10,Target
DICYCLOMINE 10 MG,Stomach Disorders or Gastrointestinal,90,$4,270,$10,Target
DICYCLOMINE 20 MG,Stomach Disorders or Gastrointestinal,60,$4,180,$10,Target
LACTULOSE 10 GM/15 ML,Stomach Disorders or Gastrointestinal,237,$4,711,$10,Target
METOCLOPRAMIDE 10 MG,Stomach Disorders or Gastrointestinal,60,$4,180,$10,Target
METOCLOPRAMIDE 5 MG/5 ML,Stomach Disorders or Gastrointestinal,60,$4,180,$10,Target
PROCHLORPERAZINE 10 MG,Stomach Disorders or Gastrointestinal,30,$4,90,$10,Target
PROMETHAZINE 25 MG*,Stomach Disorders or Gastrointestinal,12,$4,36,$10,Target
RANITIDINE 150 MG,Stomach Disorders or Gastrointestinal,60,$4,180,$10,Target
RANITIDINE 300 MG,Stomach Disorders or Gastrointestinal,30,$4,90,$10,Target
HYDROCORTISONE 2.5%,Topical Preparations,30,$4,90,$10,Target
LIDOCAINE VISCOUS 2%,Topical Preparations,100,$4,300,$10,Target
TRIAMCINOLONE 0.025%,Topical Preparations,15,$4,45,$10,Target
TRIAMCINOLONE 0.025%,Topical Preparations,80,$4,240,$10,Target
TRIAMCINOLONE 0.1%,Topical Preparations,15,$4,45,$10,Target
TRIAMCINOLONE 0.1%,Topical Preparations,80,$4,240,$10,Target
TRIAMCINOLONE 0.5%,Topical Preparations,15,$4,45,$10,Target
FOLIC ACID 1 MG,Vitamins or Supplements,30,$4,90,$10,Target
MAGNESIUM OXIDE 400 MG,Vitamins or Supplements,30,$4,90,$10,Target
PRENATAL PLUS*,Vitamins or Supplements,30,$4,N/A,N/A,Target
SODIUM FLUORIDE 0.5 MG*,Vitamins or Supplements,120,$4,N/A,N/A,Target
ALENDRONATE SOD 35 MG,Women's Health,4,$9,12,$24,Target
ALENDRONATE SOD 70 MG,Women's Health,4,$9,12,$24,Target
CLOMIPHENE 50 MG,Women's Health,5,$9,15,$24,Target
SPRINTEC 28DAY*,Women's Health,28,$9,N/A,$24,Target
TRISPRINTEC 28DAY*,Women's Health,28,$9,N/A,$24,Target
Benzonatate 100mg cap,Allergies & Cold and Flu,14,$4,42,$10,Walmart
Loratadine 10mg tab,Allergies & Cold and Flu,30,$4,90,$10,Walmart
Promethazine DM syrup,Allergies & Cold and Flu,120ml,$4,360ml,$10,Walmart
Amoxicillin 125mg/5ml susp (80ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 125mg/5ml susp (100ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 125mg/5ml susp (150ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 200mg/5ml susp (50ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 200mg/5ml susp* (75ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 200mg/5ml susp* (100ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 250mg/5ml susp (80ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 250mg/5ml susp (100ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 250mg/5ml susp (150ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 400mg/5ml susp (50ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 400mg/5ml susp* (75ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 400mg/5ml susp* (100ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Amoxicillin 250mg cap,Antibiotic Treatments,30,$4,90,$10,Walmart
Amoxicillin 500mg cap,Antibiotic Treatments,30,$4,90,$10,Walmart
Cephalexin 250mg cap,Antibiotic Treatments,28,$4,84,$10,Walmart
Cephalexin 500mg cap,Antibiotic Treatments,30,$4,90,$10,Walmart
Ciprofloxacin 250mg tab,Antibiotic Treatments,14,$4,42,$10,Walmart
Ciprofloxacin 500mg tab,Antibiotic Treatments,20,$4,60,$10,Walmart
Penicillin VK 250mg tab,Antibiotic Treatments,28,$4,84,$10,Walmart
Penicillin VK 125mg/5ml susp (100ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Penicillin VK 125mg/5ml susp (200ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
Penicillin VK 250mg/5ml susp (100ml bottle),Antibiotic Treatments,1,$4,3,$10,Walmart
SMZ-TMP 200mg-40mg/5ml susp*,Antibiotic Treatments,120ml,$4,360ml,$10,Walmart
SMZ-TMP 400mg-80mg tab,Antibiotic Treatments,28,$4,84,$10,Walmart
SMZ-TMP DS 800mg-160mg tab,Antibiotic Treatments,20,$4,60,$10,Walmart
Allopurinol 100mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Allopurinol 300mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Baclofen 10mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Cyclobenzaprine 5mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Cyclobenzaprine 10mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Dexamethasone 0.5mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Dexamethasone 0.75mg tab,Arthritis & Pain,12,$4,36,$10,Walmart
Dexamethasone 4mg tab,Arthritis & Pain,6,$4,18,$10,Walmart
Diclofenac DR 75mg tab,Arthritis & Pain,60,$4,180,$10,Walmart
Ibuprofen 100mg/5ml susp,Arthritis & Pain,120ml,$4,360ml,$10,Walmart
Ibuprofen 400mg tab,Arthritis & Pain,90,$4,270,$10,Walmart
Ibuprofen 600mg tab,Arthritis & Pain,60,$4,180,$10,Walmart
Ibuprofen 800mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Indomethacin 25mg cap,Arthritis & Pain,60,$4,180,$10,Walmart
Meloxicam 7.5mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Meloxicam 15mg tab.,Arthritis & Pain,30,$4,90,$10,Walmart
Naproxen 375mg tab,Arthritis & Pain,60,$4,180,$10,Walmart
Naproxen 500mg tab,Arthritis & Pain,60,$4,180,$10,Walmart
Allopurinol 100mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Allopurinol 300mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Baclofen 10mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Cyclobenzaprine 5mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Cyclobenzaprine 10mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Dexamethasone 0.5mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Dexamethasone 0.75mg tab,Arthritis & Pain,12,$4,36,$10,Walmart
Dexamethasone 4mg tab,Arthritis & Pain,6,$4,18,$10,Walmart
Diclofenac DR 75mg tab,Arthritis & Pain,60,$4,180,$10,Walmart
Ibuprofen 100mg/5ml susp,Arthritis & Pain,120ml,$4,360ml,$10,Walmart
Ibuprofen 400mg tab,Arthritis & Pain,90,$4,270,$10,Walmart
Ibuprofen 600mg tab,Arthritis & Pain,60,$4,180,$10,Walmart
Ibuprofen 800mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Indomethacin 25mg cap,Arthritis & Pain,60,$4,180,$10,Walmart
Meloxicam 7.5mg tab,Arthritis & Pain,30,$4,90,$10,Walmart
Meloxicam 15mg tab.,Arthritis & Pain,30,$4,90,$10,Walmart
Naproxen 375mg tab,Arthritis & Pain,60,$4,180,$10,Walmart
Naproxen 500mg tab,Arthritis & Pain,60,$4,180,$10,Walmart
Lovastatin 10mg tab,Cholesterol,30,$4,90,$10,Walmart
Lovastatin 20mg tab,Cholesterol,30,$4,90,$10,Walmart
Glimepiride 1mg tab,Diabetes,30,$4,90,$10,Walmart
Glimepiride 2mg tab,Diabetes,30,$4,90,$10,Walmart
Glimepiride 4mg tab,Diabetes,30,$4,90,$10,Walmart
Glipizide 5mg tab,Diabetes,30,$4,90,$10,Walmart
Glipizide 10mg tab,Diabetes,60,$4,180,$10,Walmart
Glyburide 2.5mg tab,Diabetes,30,$4,90,$10,Walmart
Glyburide 5mg tab (blue),Diabetes,30,$4,90,$10,Walmart
Glyburide 5mg tab (green).,Diabetes,30,$4,90,$10,Walmart
"Glyburide, micronized 3mg tab",Diabetes,30,$4,90,$10,Walmart
"Glyburide, micronized 6mg tab",Diabetes,30,$4,90,$10,Walmart
Metformin 500mg tab,Diabetes,60,$4,180,$10,Walmart
Metformin 850mg tab,Diabetes,60,$4,180,$10,Walmart
Metformin 1000mg tab,Diabetes,60,$4,180,$10,Walmart
Metformin 500mg ER tab,Diabetes,60,$4,180,$10,Walmart
Antipyrine/Benzocaine otic (15ml bottle),Ear Health,1,$4,3,$10,Walmart
Fluconazole 150mg tab,Fungal Infections,1,$4,3,$10,Walmart
Nystatin cream* (15gm tube),Fungal Infections,1,$4,3,$10,Walmart
Nystatin cream* (30gm tube),Fungal Infections,1,$4,3,$10,Walmart
Terbinafine 250mg tab,Fungal Infections,30,$4,90,$10,Walmart
Cimetidine 800mg tab*,Gastrointestinal Health,30 tablets,$4,90 tablets,$10,Walmart
Cytra2 solution,Gastrointestinal Health,180ml bottle,$4,540ml bottle,$10,Walmart
Dicyclomine 10mg cap,Gastrointestinal Health,90 capsules,$4,270 capsules,$10,Walmart
Dicyclomine 20mg,Gastrointestinal Health,60 tablets,$4,180 tablets,$10,Walmart
Famotidine 20mg,Gastrointestinal Health,60 tablets,$4,180 tablets,$10,Walmart
Lactulose syrup*,Gastrointestinal Health,236ml bottle,$4,708ml bottle,$10,Walmart
Metoclopramide 10mg,Gastrointestinal Health,60 tablets,$4,180 tablets,$10,Walmart
Metoclopramide syrup,Gastrointestinal Health,60ml bottle,$4,180ml bottle,$10,Walmart
Promethazine 25mg*,Gastrointestinal Health,12 tablets,$4,36 tablets,$10,Walmart
Promethazine plain syrup*,Gastrointestinal Health,180ml bottle,$4,540ml bottle,$10,Walmart
Ranitidine 150mg,Gastrointestinal Health,60 tablets,$4,180 tablets,$10,Walmart
Ranitidine 300mg,Gastrointestinal Health,30 tablets,$4,90 tablets,$10,Walmart
Erythromycin op. ointment (3.5gm tube)*,Glaucoma & Eye Care,1,$4,3,$10,Walmart
Gentak 0.3% op. soln,Glaucoma & Eye Care,5,$4,15,$10,Walmart
Gentamicin 0.3% op. soln (5ml bottle),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Levobunolol 0.5% op soln (5ml bottle),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Neomycin/Polymyxin/Dexamethasone 0.1% op. ointment* (3.5gm tube),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Neomycin/Polymyxin/Dexamethasone 0.1% op. susp* (5ml bottle),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Pilocarpine 1% op. soln* (15ml bottle),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Pilocarpine 2% op. soln* (15ml bottle),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Polymyxin Sulfate/TMP op. soln* (10ml bottle),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Sulfacet Sodium 10% op. soln* (15ml bottle),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Timolol Maleate 0.25% op. soln (5ml bottle),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Timolol Maleate 0.5% op soln (5ml bottle),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Tobramycin 0.3% op. soln (5ml bottle),Glaucoma & Eye Care,1,$4,3,$10,Walmart
Atenolol-Chlorthalidone 100mg,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Atenolol 25mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Atenolol 50mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Atenolol 100mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Benazepril 5mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Benazepril 10mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Benazepril 20mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Benazepril 40mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Bisoprolol-HCTZ 2.5mg-6.25mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Bisoprolol-HCTZ 5mg-6.25mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Bisoprolol-HCTZ 10mg-6.25mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Carvedilol 3.125mg tab,Heart Health & Blood Pressure,60,$4,180,$10,Walmart
Carvedilol 6.25mg tab,Heart Health & Blood Pressure,60,$4,180,$10,Walmart
Carvedilol 12.5mg tab,Heart Health & Blood Pressure,60,$4,180,$10,Walmart
Carvedilol 25mg tab,Heart Health & Blood Pressure,60,$4,180,$10,Walmart
Clonidine 0.1mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Clonidine 0.2mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Enalapril-HCTZ 5mg-12.5mg tab*,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Enalapril 2.5mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Enalapril 5mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Enalapril 10mg tab*,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Enalapril 20mg tab*,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Furosemide 20mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Furosemide 40mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Furosemide 80mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Guanfacine 1mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
Hydralazine 10mg tab,Heart Health & Blood Pressure,30,$4,90,$10,Walmart
